名称,路径,位置X,位置Y,位置Z,大小X,大小Y,大小Z,合并,文义,文义（英）
Terrain,nature/Terrain,-105,-0.9200001,-165.2,250,18.75114,250,,,
Trees,nature/Trees,20,-0.658287,-40.2,277.6338,67.44214,330.6808,,,
bush03 (96),nature/Trees/bush03 (96),49.07561,-0.658287,41.88366,3.125416,1.755717,3.125923,,,
bush03 (103),nature/Trees/bush03 (103),-14.89,-2.358288,10.51,8.649018,4.886286,8.622211,,,
bush02 (40),nature/Trees/bush02 (40),-46.1,-2.268286,-96.5,6.488397,4.211606,5.625319,,,
tree02 (76),nature/Trees/tree02 (76),19.49,-1.148287,-75.47,42.57452,41.4527,37.16269,,,
tree02 (74),nature/Trees/tree02 (74),82.4,0.6417131,-140.8,38.05113,32.50223,37.32928,,,
bush01 (1),nature/Trees/bush01 (1),87.3,-0.658287,-47.4,3.50862,2.553689,3.280742,,,
bush03 (43),nature/Trees/bush03 (43),35.7,-2.358288,-82.8,8.649018,4.886286,8.622211,,,
bush03 (42),nature/Trees/bush03 (42),68.09,-3.108288,-44.64,9.331108,5.271637,9.302187,,,
bush02 (168),nature/Trees/bush02 (168),9.23,-3.708286,-40.04,12.60387,5.99198,10.92732,,,
bush03 (86),nature/Trees/bush03 (86),8.22,-5.058287,-23.42,21.20743,13.53143,21.4837,,,
bush03 (50),nature/Trees/bush03 (50),-17.7,-2.358288,-15.6,8.649018,4.886286,8.622211,,,
bush02 (138),nature/Trees/bush02 (138),48.70994,-3.601088,-41.29899,9.101532,6.243176,9.622905,,,
bush03 (44),nature/Trees/bush03 (44),26.9,-1.258287,-78,5.808104,3.68112,5.883769,,,
bush02 (159),nature/Trees/bush02 (159),-57,-4.858286,-58.2,13.51598,7.933723,15.17497,,,
bush02 (46),nature/Trees/bush02 (46),-34.9,-2.268286,-40.6,6.488397,4.211606,5.625319,,,
bush03 (101),nature/Trees/bush03 (101),29.72,-7.058287,7.41,21.20743,13.53143,21.4837,,,
bush03 (66),nature/Trees/bush03 (66),75.1,-0.658287,-107.9,3.766002,2.138563,3.750433,,,
bush03 (99),nature/Trees/bush03 (99),111.3,-0.658287,-46.4,3.122397,1.755717,3.125204,,,
tree02 (75),nature/Trees/tree02 (75),111.32,-0.8982868,-116.68,37.60653,32.50223,38.01294,,,
bush03 (48),nature/Trees/bush03 (48),-26.5,-1.258287,-10.8,5.808104,3.68112,5.883769,,,
bush02 (91),nature/Trees/bush02 (91),51.32,-1.789488,-70.54,3.132984,2.285094,3.532508,,,
bush02 (142),nature/Trees/bush02 (142),82.531,-3.530586,-77.621,7.448894,6.089328,9.185294,,,
bush02 (155),nature/Trees/bush02 (155),-24,-1.528288,-59.5,5.132615,3.331188,4.452489,,,
bush01 (3),nature/Trees/bush01 (3),77,-0.658287,-103,3.441884,2.553689,3.129404,,,
tree01 (4),nature/Trees/tree01 (4),85.266,1.041713,48.168,40.94706,44.93462,39.56607,,,
tree01 (9),nature/Trees/tree01 (9),-31.7,-0.2582874,-34.4,43.04682,47.23886,41.59501,,,
bush03 (82),nature/Trees/bush03 (82),56.5,-0.658287,-132.3,2.494203,1.755717,2.445262,,,
bush01 (5),nature/Trees/bush01 (5),55.94361,-0.658287,39.91375,3.254902,2.553689,2.80985,,,
bush03 (37),nature/Trees/bush03 (37),59.29,-1.998287,-39.84,6.26615,3.971426,6.347785,,,
bush03 (49),nature/Trees/bush03 (49),89.9,-0.658287,-12.8,2.962859,1.755717,2.987347,,,
bush02 (167),nature/Trees/bush02 (167),-46.3,-1.528288,21.3,7.893414,5.185197,7.772091,,,
bush02 (45),nature/Trees/bush02 (45),-68.2,-4.858286,-114.1,13.51598,7.933723,15.17497,,,
bush03 (33),nature/Trees/bush03 (33),90.8,-0.658287,-53.6,2.181996,1.755717,2.238456,,,
bush03 (94),nature/Trees/bush03 (94),70.08124,-0.658287,39.55699,2.972528,1.755717,2.996267,,,
bush03 (61),nature/Trees/bush03 (61),103.9,-1.681288,-110,7.014722,4.475757,7.106108,,,
bush02 (156),nature/Trees/bush02 (156),-51.6,-3.601088,-40.8,8.142244,6.243176,5.203354,,,
bush03 (65),nature/Trees/bush03 (65),63,-0.658287,-105,2.770185,1.755717,2.806275,,,
bush03 (93),nature/Trees/bush03 (93),67.54593,-0.658287,37.75361,2.972528,1.755717,2.996267,,,
bush03 (105),nature/Trees/bush03 (105),-23.8,-2.558287,-85.60001,16.28981,10.39373,16.50201,,,
bush03 (63),nature/Trees/bush03 (63),71.8,-0.658287,-109.8,3.107722,1.755717,3.09809,,,
bush02 (146),nature/Trees/bush02 (146),120.9,-1.678288,-16.4,5.071059,3.331188,4.993116,,,
bush02 (150),nature/Trees/bush02 (150),-9.200001,-2.058287,-21.1,3.057679,3.087682,4.317599,,,
bush02 (140),nature/Trees/bush02 (140),51.16,-4.188288,-26.7,8.142244,6.243176,5.203354,,,
bush03 (106),nature/Trees/bush03 (106),-33.9,-2.558287,-31.9,16.28981,10.39373,16.50201,,,
bush03 (47),nature/Trees/bush03 (47),65.1,-0.658287,25.1,2.494203,1.755717,2.445262,,,
bush03 (62),nature/Trees/bush03 (62),68.2,-0.658287,-105.5,3.107722,1.755717,3.09809,,,
bush03 (32),nature/Trees/bush03 (32),82.2,-0.658287,-48.7,2.657795,2.138563,2.726567,,,
bush03 (98),nature/Trees/bush03 (98),103.5,-0.658287,-36.9,3.107722,1.755717,3.09809,,,
bush03 (73),nature/Trees/bush03 (73),40.7,-0.658287,-122.5,3.107722,1.755717,3.09809,,,
bush03 (24),nature/Trees/bush03 (24),98.9,-0.658287,-57.1,2.794901,1.755717,2.758229,,,
bush02 (166),nature/Trees/bush02 (166),-29.43,-2.268286,30.26,10.09959,6.555621,8.756152,,,
bush03 (67),nature/Trees/bush03 (67),84.1,-0.658287,-103.8,3.091812,1.755717,3.07903,,,
bush03 (83),nature/Trees/bush03 (83),60.6,-0.658287,-132.1,2.962859,1.755717,2.987347,,,
bush03 (77),nature/Trees/bush03 (77),64.2,-0.658287,-116.3,2.770185,1.755717,2.806275,,,
tree02 (68),nature/Trees/tree02 (68),-12.91,-0.3682861,-102.26,54.61602,38.58755,51.99214,,,
bush03 (104),nature/Trees/bush03 (104),-35,-2.558287,-141.5,16.28981,10.39373,16.50201,,,
bush02 (84),nature/Trees/bush02 (84),38.76,-2.268288,-1.100002,4.074944,3.331188,5.024848,,,
bush03 (58),nature/Trees/bush03 (58),91.7,-0.658287,-99.3,2.770185,1.755717,2.806275,,,
bush03 (22),nature/Trees/bush03 (22),105.2,-0.658287,-22.6,2.961662,1.755717,2.986241,,,
bush03 (95),nature/Trees/bush03 (95),58.63226,-0.658287,44.42941,3.806934,2.138563,3.807551,,,
bush03 (27),nature/Trees/bush03 (27),97.3,-1.681288,-73.3,7.077305,4.475757,6.984445,,,
bush03 (97),nature/Trees/bush03 (97),107.1,-0.658287,-41.2,3.107722,1.755717,3.09809,,,
bush03 (84),nature/Trees/bush03 (84),60.6,-0.658287,-129,2.962859,1.755717,2.987347,,,
bush03 (71),nature/Trees/bush03 (71),37.7,-0.658287,-119.8,2.770185,1.755717,2.806275,,,
bush03 (81),nature/Trees/bush03 (81),35.8,-0.658287,-94.2,2.494203,1.755717,2.445262,,,
bush02 (90),nature/Trees/bush02 (90),42.74026,-1.789488,-77.23592,3.132984,2.285094,3.532508,,,
bush03 (55),nature/Trees/bush03 (55),67.4,-0.658287,-77,2.962859,1.755717,2.987347,,,
tree02 (66),nature/Trees/tree02 (66),-30.15,-1.668287,-14.98,43.13377,45.92503,48.60344,,,
bush02 (52),nature/Trees/bush02 (52),-41,-4.258287,-52.7,15.15622,8.813609,15.0768,,,
bush03 (45),nature/Trees/bush03 (45),69.2,-0.658287,28.3,2.962859,1.755717,2.987347,,,
bush03 (90),nature/Trees/bush03 (90),38.42249,-0.658287,41.85542,3.120553,1.755717,3.124241,,,
bush02 (126),nature/Trees/bush02 (126),63.42,-5.048286,-25.48,7.751711,8.559405,15.3227,,,
bush03 (102),nature/Trees/bush03 (102),119,-0.9782867,-14.2,3.107722,1.755717,3.09809,,,
bush03 (16),nature/Trees/bush03 (16),64.1,-0.658287,-53.2,2.961662,1.755717,2.986241,,,
bush03 (15),nature/Trees/bush03 (15),61.6,-0.658287,-55,2.961662,1.755717,2.986241,,,
bush03 (76),nature/Trees/bush03 (76),67.1,-0.658287,-119,3.107722,1.755717,3.09809,,,
bush03 (31),nature/Trees/bush03 (31),77.5,-0.658287,-37.2,2.794901,1.755717,2.758229,,,
bush03 (14),nature/Trees/bush03 (14),59,-0.658287,-51.8,3.122397,1.755717,3.125204,,,
bush03 (92),nature/Trees/bush03 (92),65.03687,-0.658287,40.91504,3.120553,1.755717,3.124241,,,
bush03 (91),nature/Trees/bush03 (91),33.52382,-2.509386,25.44161,11.22966,6.677369,11.31934,,,
bush03 (70),nature/Trees/bush03 (70),35.5,-0.658287,-122,2.770185,1.755717,2.806275,,,
bush03 (30),nature/Trees/bush03 (30),80.6,-0.658287,-37.7,2.794901,1.755717,2.758229,,,
bush03 (100),nature/Trees/bush03 (100),123.2,-1.458286,-19.4,3.122397,1.755717,3.125204,,,
tree02 (54),nature/Trees/tree02 (54),108.6,3.541713,34.1,45.71028,39.04447,44.84314,,,
bush03 (64),nature/Trees/bush03 (64),65.2,-0.658287,-102.8,2.770185,1.755717,2.806275,,,
bush02 (32),nature/Trees/bush02 (32),-42.1,-2.268286,-100.1,10.09959,6.555621,8.756152,,,
bush02 (149),nature/Trees/bush02 (149),-17.2,-4.958288,14.2,16.77922,10.03057,15.99046,,,
bush03 (11),nature/Trees/bush03 (11),82.8,-0.658287,-14.1,2.961662,1.755717,2.986241,,,
bush02 (49),nature/Trees/bush02 (49),-30.9,-2.268286,-44.2,10.09959,6.555621,8.756152,,,
bush02 (67),nature/Trees/bush02 (67),59.5,-1.528288,-77.3,3.298817,3.331188,4.6581,,,
bush03 (23),nature/Trees/bush03 (23),95.9,-0.658287,-56.6,2.794901,1.755717,2.758229,,,
bush03 (51),nature/Trees/bush03 (51),88.1,-0.658287,-112,2.962859,1.755717,2.987347,,,
bush03 (40),nature/Trees/bush03 (40),105.7,-1.681288,-7.700001,7.014722,4.475757,7.106108,,,
bush02 (153),nature/Trees/bush02 (153),-62.8,-3.601088,-96.7,8.142244,6.243176,5.203354,,,
bush03 (29),nature/Trees/bush03 (29),78.7,-0.658287,-47.2,2.269441,1.755717,2.323608,,,
bush03 (69),nature/Trees/bush03 (69),47.6,-0.658287,-124.9,3.766002,2.138563,3.750433,,,
bush03 (28),nature/Trees/bush03 (28),80.1,-0.658287,-41.7,2.269441,1.755717,2.323608,,,
bush03 (80),nature/Trees/bush03 (80),39.9,-0.658287,-94,2.962859,1.755717,2.987347,,,
bush03 (89),nature/Trees/bush03 (89),40.83295,-0.658287,38.71063,2.972528,1.755717,2.996267,,,
bush02 (43),nature/Trees/bush02 (43),36,-4.858286,-74.60001,13.51598,7.933723,15.17497,,,
bush03 (88),nature/Trees/bush03 (88),43.35162,-0.658287,40.41541,2.972528,1.755717,2.996267,,,
bush03 (12),nature/Trees/bush03 (12),80.3,-0.658287,-15.9,2.961662,1.755717,2.986241,,,
bush03 (46),nature/Trees/bush03 (46),69.2,-0.658287,25.3,2.962859,1.755717,2.987347,,,
bush03 (54),nature/Trees/bush03 (54),63.3,-0.658287,-77.2,2.494203,1.755717,2.445262,,,
bush03 (79),nature/Trees/bush03 (79),39.9,-0.658287,-91,2.962859,1.755717,2.987347,,,
bush02 (95),nature/Trees/bush02 (95),43.05,-1.789488,-116.5,3.132984,2.285094,3.532508,,,
bush03 (59),nature/Trees/bush03 (59),94.6,-0.658287,-102,3.107722,1.755717,3.09809,,,
bush03 (78),nature/Trees/bush03 (78),62,-0.658287,-118.4,2.770185,1.755717,2.806275,,,
bush02 (55),nature/Trees/bush02 (55),89.5,-2.268286,-16.8,6.489142,4.211606,5.629262,,,
bush03 (17),nature/Trees/bush03 (17),86.5,-0.658287,-61.7,2.961662,1.755717,2.986241,,,
bush03 (57),nature/Trees/bush03 (57),89.5,-0.658287,-101.4,2.770185,1.755717,2.806275,,,
bush02 (62),nature/Trees/bush02 (62),80.3,-1.528288,-115.3,3.298817,3.331188,4.6581,,,
bush03 (10),nature/Trees/bush03 (10),73.5,-0.658287,-48.1,2.794901,1.755717,2.758229,,,
bush03 (6),nature/Trees/bush03 (6),74.9,-1.681288,-64.8,7.077305,4.475757,6.984445,,,
bush03 (3),nature/Trees/bush03 (3),58.2,-0.658287,-29.2,2.794901,1.755717,2.758229,,,
bush03 (39),nature/Trees/bush03 (39),70,-0.658287,-3.200001,3.107722,1.755717,3.09809,,,
bush03 (9),nature/Trees/bush03 (9),76.5,-0.658287,-48.6,2.794901,1.755717,2.758229,,,
bush03 (19),nature/Trees/bush03 (19),81.4,-0.658287,-60.3,3.122397,1.755717,3.125204,,,
bush02 (58),nature/Trees/bush02 (58),76.59,-2.868288,-50.14,3.298817,3.331188,4.6581,,,
bush02 (94),nature/Trees/bush02 (94),56.22,-1.789488,-109.27,3.132984,2.285094,3.532508,,,
bush03 (85),nature/Trees/bush03 (85),65.16093,-0.658287,12.19425,2.327065,1.755717,2.272996,,,
bush03 (56),nature/Trees/bush03 (56),67.4,-0.658287,-74,2.962859,1.755717,2.987347,,,
bush03 (8),nature/Trees/bush03 (8),76,-0.658287,-52.6,2.269441,1.755717,2.323608,,,
bush02 (21),nature/Trees/bush02 (21),84.43,-5.048286,-30.91,16.3515,9.508683,16.26581,,,
tree01 (11),nature/Trees/tree01 (11),-64.5,-0.2582874,-115.3,42.91458,47.23886,43.39707,,,
bush03 (41),nature/Trees/bush03 (41),98.5,-2.509386,17.3,10.46525,6.677369,10.60158,,,
bush03 (21),nature/Trees/bush03 (21),102.7,-0.658287,-24.4,2.961662,1.755717,2.986241,,,
bush03 (5),nature/Trees/bush03 (5),57.7,-0.658287,-33.2,2.269441,1.755717,2.323608,,,
bush03 (20),nature/Trees/bush03 (20),100.2,-0.658287,-21.2,3.122397,1.755717,3.125204,,,
bush03 (72),nature/Trees/bush03 (72),44.3,-0.658287,-126.8,3.107722,1.755717,3.09809,,,
bush03 (4),nature/Trees/bush03 (4),56.3,-0.658287,-38.7,2.269441,1.755717,2.323608,,,
bush02 (154),nature/Trees/bush02 (154),-35.2,-1.528288,-115.4,5.132615,3.331188,4.452489,,,
bush03 (53),nature/Trees/bush03 (53),84,-0.658287,-115.3,2.494203,1.755717,2.445262,,,
bush02 (31),nature/Trees/bush02 (31),-40.7,-1.528288,-95.2,5.132025,3.331188,4.449369,,,
bush03 (26),nature/Trees/bush03 (26),113.4,-3.678288,-52.8,16.43514,10.39373,16.21949,,,
bush03 (2),nature/Trees/bush03 (2),55.1,-0.658287,-28.7,2.794901,1.755717,2.758229,,,
bush03 (18),nature/Trees/bush03 (18),84,-0.658287,-63.5,2.961662,1.755717,2.986241,,,
bush02 (39),nature/Trees/bush02 (39),-47.4,-1.528288,-88.3,7.893414,5.185197,7.772091,,,
bush03 (52),nature/Trees/bush03 (52),88.1,-0.658287,-115.1,2.962859,1.755717,2.987347,,,
bush02 (23),nature/Trees/bush02 (23),52,-4.258287,-69.1,15.15622,8.813609,15.0768,,,
bush03 (1),nature/Trees/bush03 (1),59.8,-0.658287,-40.2,2.657795,2.138563,2.726567,,,
bush02 (59),nature/Trees/bush02 (59),59.1,-2.658287,25.2,4.10667,4.146969,5.798831,,,
bush02 (69),nature/Trees/bush02 (69),89.6,-1.528288,-98.9,4.992695,3.331188,3.990348,,,
bush02 (143),nature/Trees/bush02 (143),109,-1.528288,-43.4,5.071059,3.331188,4.993116,,,
bush01 (4),nature/Trees/bush01 (4),49.5,-0.658287,-120,3.441884,2.553689,3.129404,,,
bush02 (145),nature/Trees/bush02 (145),36.2,-4.958288,-53,16.77922,10.03057,15.99046,,,
bush03 (68),nature/Trees/bush03 (68),56.6,-0.658287,-120.8,3.091812,1.755717,3.07903,,,
bush02 (157),nature/Trees/bush02 (157),-20.7,-2.268286,-63.6,10.10075,6.555621,8.762291,,,
bush03 (34),nature/Trees/bush03 (34),85.9,-0.658287,-1.5,3.091812,1.755717,3.07903,,,
bush03,nature/Trees/bush03,68.4,-0.658287,-45.1,2.181996,1.755717,2.238456,,,
bush01,nature/Trees/bush01,64.9,-0.658287,-38.9,3.50862,2.553689,3.280742,,,
bush02 (93),nature/Trees/bush02 (93),44.36,-1.789488,-93.54,3.132984,2.285094,3.532508,,,
bush02 (37),nature/Trees/bush02 (37),89.9,-1.728287,-42.3,4.344479,3.331188,2.776367,,,
bush02 (147),nature/Trees/bush02 (147),31,-4.258287,-63.7,7.185075,7.933723,14.20263,,,
bush02 (30),nature/Trees/bush02 (30),-52.2,-4.258287,-108.6,15.15622,8.813609,15.0768,,,
bush02 (77),nature/Trees/bush02 (77),74.4,-1.728287,-97.9,4.792758,3.331188,5.147766,,,
bush02 (158),nature/Trees/bush02 (158),-56.8,-4.958288,-36.6,16.77922,10.03057,15.99046,,,
bush02 (50),nature/Trees/bush02 (50),-29.5,-1.528288,-39.3,5.132025,3.331188,4.449369,,,
bush02 (82),nature/Trees/bush02 (82),47.3,-3.185987,-49.397,6.527744,5.336306,8.049416,,,
bush02 (148),nature/Trees/bush02 (148),-22.4,-4.258287,3.5,7.185075,7.933723,14.20263,,,
bush02 (15),nature/Trees/bush02 (15),58.1,-2.268286,-57,6.488397,4.211606,5.625319,,,
bush03 (60),nature/Trees/bush03 (60),96.7,-2.509386,-85,16.28981,10.39373,16.50201,,,
bush02 (169),nature/Trees/bush02 (169),-45,-2.268286,13.1,6.488397,4.211606,5.625319,,,
tree01 (6),nature/Trees/tree01 (6),-25,-0.2582874,38.8,43.04682,47.23886,41.59501,,,
bush02 (164),nature/Trees/bush02 (164),-61.7,-3.601088,12.9,8.142244,6.243176,5.203354,,,
tree01 (10),nature/Trees/tree01 (10),-13.9,-0.2582874,-132,43.04682,47.23886,41.59501,,,
bush02 (165),nature/Trees/bush02 (165),-39.6,-1.528288,14.4,5.132025,3.331188,4.449369,,,
bush03 (87),nature/Trees/bush03 (87),50.37,-3.208286,-1.310001,12.4998,7.963639,12.66667,,,
bush02 (29),nature/Trees/bush02 (29),4.1,-5.018288,-14.72,15.15622,8.813609,15.0768,,,
bush02 (42),nature/Trees/bush02 (42),68.39,-5.688288,-36.44,14.5819,8.559405,16.37172,,,
bush02 (76),nature/Trees/bush02 (76),63.2,-1.528288,-102.4,4.992695,3.331188,3.990348,,,
bush02 (54),nature/Trees/bush02 (54),68.59,-5.788286,-14.84,18.10249,10.82162,17.25152,,,
bush03 (75),nature/Trees/bush03 (75),69.2,-2.558287,-102,16.28981,10.39373,16.50201,,,
bush03 (7),nature/Trees/bush03 (7),90.737,-4.659887,-44.1626,19.59978,12.39509,19.34262,,,
bush02 (57),nature/Trees/bush02 (57),82.1,-1.528288,-13,3.298817,3.331188,4.6581,,,
bush02 (9),nature/Trees/bush02 (9),75.4,-1.528288,-56.3,6.929249,5.185197,4.587562,,,
bush03 (74),nature/Trees/bush03 (74),76.4,-1.681288,-127,10.91885,6.966787,11.06109,,,
bush02 (152),nature/Trees/bush02 (152),-31.9,-2.268286,-119.5,10.10075,6.555621,8.762291,,,
bush02 (123),nature/Trees/bush02 (123),44.2,-2.058287,-88.3,3.057679,3.087682,4.317599,,,
bush03 (36),nature/Trees/bush03 (36),64.8,-0.658287,-2.700001,6.26615,3.971426,6.347785,,,
bush03 (38),nature/Trees/bush03 (38),73.6,-1.768288,-7.5,9.331108,5.271637,9.302187,,,
bush02 (47),nature/Trees/bush02 (47),-36.2,-1.528288,-32.4,7.893414,5.185197,7.772091,,,
bush02 (151),nature/Trees/bush02 (151),-68,-4.958288,-92.5,16.77922,10.03057,15.99046,,,
tree01 (5),nature/Trees/tree01 (5),67.23,-0.948288,-53.38249,27.95075,34.13462,27.00056,,,
bush02 (63),nature/Trees/bush02 (63),93,-2.268286,-118,6.489142,4.211606,5.629262,,,
tree01 (3),nature/Trees/tree01 (3),47.168,-0.2582874,23.28666,43.04682,47.23886,41.59501,,,
bush02 (162),nature/Trees/bush02 (162),-66.9,-4.958288,17.1,16.77922,10.03057,15.99046,,,
tree01 (7),nature/Trees/tree01 (7),3.99,-0.2582874,-84.16,43.04682,47.23886,41.59501,,,
bush02 (160),nature/Trees/bush02 (160),-67.1,-4.858286,-4.5,11.19846,8.515934,11.69802,,,
tree02 (64),nature/Trees/tree02 (64),-26.05,-1.668287,10.25,43.13377,45.92503,48.60344,,,
tree01 (8),nature/Trees/tree01 (8),43.35,-0.2582874,-85.05,43.04682,47.23886,41.59501,,,
bush02 (119),nature/Trees/bush02 (119),65.5,-2.268286,-135,6.489142,4.211606,5.629262,,,
tree02 (72),nature/Trees/tree02 (72),-34.7,-0.3682861,-108.4,54.06077,38.58755,50.82364,,,
bush02 (85),nature/Trees/bush02 (85),39.992,-2.393387,-38.9262,5.338343,3.60462,5.525474,,,
bush02 (87),nature/Trees/bush02 (87),46.65,-1.789488,-51.36,3.384161,2.285094,3.50279,,,
bush02 (78),nature/Trees/bush02 (78),72.1,-2.168287,-101.6,4.792758,3.331188,5.147766,,,
bush02 (144),nature/Trees/bush02 (144),106.1,-2.698286,-39.5,7.572157,5.185197,7.988565,,,
bush02 (163),nature/Trees/bush02 (163),-30.8,-4.178288,-9.900002,10.10075,6.555621,8.762291,,,
bush02 (137),nature/Trees/bush02 (137),45.26,-2.268288,-39.57,4.344479,3.331188,2.776367,,,
tree02 (48),nature/Trees/tree02 (48),30.3,-0.3682861,5.200001,54.61602,38.58755,51.99214,,,
bush02 (79),nature/Trees/bush02 (79),82,-1.528288,-103.4,4.792758,3.331188,5.147766,,,
tree02 (55),nature/Trees/tree02 (55),146.1,-1.158287,56.5,43.13377,30.05953,48.60344,,,
tree02 (73),nature/Trees/tree02 (73),-64.6,-0.4282875,-28.1,43.13377,45.92503,48.60344,,,
bush02 (83),nature/Trees/bush02 (83),27.22,-2.268288,-24.46,4.074944,3.331188,5.024848,,,
tree02 (49),nature/Trees/tree02 (49),3.872999,-0.4282875,-16.252,43.13377,45.92503,48.60344,,,
bush02 (139),nature/Trees/bush02 (139),41.47,-3.601088,-57.28,8.142244,6.243176,5.203354,,,
tree02 (60),nature/Trees/tree02 (60),29.47064,-3.458286,-30.0849,37.8175,38.58755,44.98299,,,
bush02 (108),nature/Trees/bush02 (108),36.3,-2.268286,-114.3,6.312241,4.211606,5.044979,,,
bush02 (136),nature/Trees/bush02 (136),51.07981,-1.528288,41.13993,5.042139,3.331188,5.028056,,,
bush02 (135),nature/Trees/bush02 (135),60.54244,-2.168287,37.71815,5.042139,3.331188,5.028056,,,
bush02 (44),nature/Trees/bush02 (44),-29.95,-2.818287,9.950001,11.24239,6.599153,12.62231,,,
tree01 (12),nature/Trees/tree01 (12),-5.139999,-0.2582874,35.08,30.26798,58.96584,38.75475,,,
bush02 (92),nature/Trees/bush02 (92),52.12,-1.789488,-84.53,3.132984,2.285094,3.532508,,,
tree02 (70),nature/Trees/tree02 (70),45.35,-0.738287,-110.55,45.71028,39.04447,44.84314,,,
bush02 (5),nature/Trees/bush02 (5),61.8,-2.268288,-24.8,5.011,4.211606,6.298706,,,
bush02 (80),nature/Trees/bush02 (80),33.94,-2.359787,-39.44,5.700381,3.531046,5.576381,,,
bush02 (28),nature/Trees/bush02 (28),104.6,-1.528288,-25.1,5.132025,3.331188,4.449369,,,
tree01 (2),nature/Trees/tree01 (2),57.999,-0.7682877,-23.118,23.14711,38.85537,27.22124,,,
bush02 (4),nature/Trees/bush02 (4),57.1,-1.528288,-36.9,4.451638,3.331188,2.947242,,,
bush02 (72),nature/Trees/bush02 (72),94.8,-2.268286,-96.7,6.312241,4.211606,5.044979,,,
bush02 (48),nature/Trees/bush02 (48),92,-2.268286,8.5,6.312241,4.211606,5.044979,,,
bush02 (61),nature/Trees/bush02 (61),89.8,-1.528288,-113.9,5.132615,3.331188,4.452489,,,
bush02 (17),nature/Trees/bush02 (17),56.8,-1.528288,-48.8,7.893414,5.185197,7.772091,,,
bush02 (130),nature/Trees/bush02 (130),64.05662,-4.448286,35.70553,18.14469,10.82162,17.31977,,,
bush02 (161),nature/Trees/bush02 (161),-51.1,-4.638287,1,11.73366,6.82333,11.67217,,,
bush02 (128),nature/Trees/bush02 (128),41.39712,-2.268286,33.03775,6.494914,4.211606,5.66135,,,
bush02 (19),nature/Trees/bush02 (19),74.4,-2.658287,-7.799999,6.312919,4.146969,6.215889,,,
bush02 (53),nature/Trees/bush02 (53),74.1,-4.448286,22.3,18.10249,10.82162,17.25152,,,
bush02 (133),nature/Trees/bush02 (133),69.45152,-1.528288,37.02649,5.13718,3.331188,4.47787,,,
bush02 (16),nature/Trees/bush02 (16),62.1,-2.268286,-60.6,10.09959,6.555621,8.756152,,,
tree02 (57),nature/Trees/tree02 (57),86.6,-0.3582878,91.2,43.13377,30.05953,48.60344,,,
